5.260967554931994528e-06 1.359271700493991375e-04 4.272786463843658566e-05 1.556371535116340965e-05 5.461696218844735995e-06 3.283209480287041515e-06 1.614011580386431888e-06
5.529967438633320853e-06 1.501827791798859835e-04 4.720902870758436620e-05 1.719599276839289814e-05 6.034501893736887723e-06 3.627542355388868600e-06 1.783284119483141694e-06
5.812721610709559172e-06 1.659335248405113816e-04 5.216016870690509677e-05 1.899945345940068364e-05 6.667381967417895794e-06 4.007988081866642460e-06 1.970309540411108173e-06
6.109933565312530845e-06 1.833360729506239295e-04 5.763055014540441334e-05 2.099205448757857084e-05 7.366635145444888622e-06 4.428332886163843796e-06 2.176949237764347345e-06
6.422341812140075490e-06 2.025637659244239330e-04 6.367466266965493560e-05 2.319363375136163086e-05 8.139224519254639745e-06 4.892762717645382509e-06 2.405260829618782736e-06
6.750723969162208959e-06 2.238080196548253298e-04 7.035265298327431083e-05 2.562611007306259125e-05 8.992840776045341045e-06 5.405900083133019507e-06 2.657516915860469453e-06
7.095897217368474230e-06 2.472803171258419752e-04 7.773104152875021100e-05 2.831369965861085802e-05 9.935984053299762309e-06 5.972854523861315101e-06 2.936229748229379766e-06
7.458719210262643173e-06 2.732142456807196140e-04 8.588321361457929015e-05 3.128314710920676589e-05 1.097803669836139306e-05 6.599268090212717652e-06 3.244172148697543889e-06
7.840092621336225420e-06 3.018681018147617579e-04 9.489037620369344950e-05 3.456402919255197048e-05 1.212937968375626951e-05 7.291379006346687675e-06 3.584410706025664695e-06
8.240966053563170135e-06 3.335270739626139402e-04 1.048421763698570430e-04 3.818898767349310219e-05 1.340146991424262524e-05 8.056075785134453326e-06 3.960332378483144566e-06
8.662336767883971334e-06 3.685062984004616737e-04 1.158376835519447923e-04 4.219412949169054627e-05 1.480697483202675357e-05 8.900971806724555790e-06 4.375679509394103661e-06
9.105253411689773202e-06 4.071540897712111473e-04 1.279863790841773152e-04 4.661931961891241372e-05 1.635988519410602748e-05 9.834477168624289334e-06 4.834587798541178927e-06
9.570816473569720984e-06 4.498551134020090103e-04 1.414091966580599546e-04 5.150861034053377807e-05 1.807565604394767433e-05 1.086588872567517683e-05 5.341623818821972236e-06
1.006018374027917162e-05 4.970344598405063152e-04 1.562397374073043466e-04 5.691066326107829809e-05 1.997137405851390213e-05 1.200546648760791868e-05 5.901836175326025113e-06
1.057457393471850082e-05 5.491618067026138306e-04 1.726256450638175011e-04 6.287926953518763185e-05 2.206590943387709558e-05 1.326456276729004458e-05 6.520802344311960042e-06
1.111526489694369957e-05 6.067561917006969452e-04 1.907300611492246389e-04 6.947384099476039410e-05 2.438011324557010084e-05 1.465570858272258192e-05 7.204684152384288609e-06
1.168360176961869001e-05 6.703907274641096592e-04 2.107331965817138553e-04 7.676003588130697608e-05 2.693702117539942265e-05 1.619275462871883065e-05 7.960288712638430297e-06
1.228099881700472906e-05 7.406988879665732384e-04 2.328341943211853504e-04 8.481038094032555819e-05 2.976208634208887815e-05 1.789099587767850608e-05 8.795135727268643677e-06
1.290894215344451368e-05 8.183812024071812630e-04 2.572531520854681730e-04 9.370504267280921340e-05 3.288344669272191823e-05 1.976735075004398823e-05 9.717545253806747496e-06
1.356899156235158443e-05 9.042100282385945320e-04 2.842329267878085375e-04 1.035324967233464122e-04 3.633214510045945644e-05 2.184048207709565759e-05 1.073668863682541996e-05
1.426279141014674678e-05 9.990406688302755356e-04 3.140423796139657497e-04 1.143906702054664493e-04 4.014255318907089531e-05 2.413104630250018090e-05 1.186271947517525405e-05
