# k/h z=0 z=0.5 z=1 z=3
3.361176429457156667e-01 1.234554430817223874e+03 6.310020591254769897e+02 3.542305038388246885e+02 8.020838349182942295e+01
3.423700375709273769e-01 1.208818190486892945e+03 6.154771517169485833e+02 3.443890120372951174e+02 7.743274282995214719e+01
3.486478192666269682e-01 1.184113028284363963e+03 6.005421151242333053e+02 3.348635815649993219e+02 7.471583585324134447e+01
3.549411614411318028e-01 1.160018157165784714e+03 5.860600676035094239e+02 3.256789545631028204e+02 7.211714086509637411e+01
3.611916935421040642e-01 1.138084477247554787e+03 5.728447042251360699e+02 3.173307375485696866e+02 6.978937210532106405e+01
3.674767089563572564e-01 1.115683574883364827e+03 5.594496644034464907e+02 3.089365100969151854e+02 6.751929492294873114e+01
3.737647795277591056e-01 1.095110594144036440e+03 5.472485190870585257e+02 3.013655625783299570e+02 6.550779669318445997e+01
3.800654031475132477e-01 1.074715397129948315e+03 5.351503613518216298e+02 2.938560327610140916e+02 6.353653172094921331e+01
3.863539861259823738e-01 1.055778588521643087e+03 5.239126673153585898e+02 2.868903013459243994e+02 6.171545446513864164e+01
3.926140181364449755e-01 1.037165345654216026e+03 5.129558738480022839e+02 2.800993857736578434e+02 5.992205159582199059e+01
3.989264500321934581e-01 1.019435378974988112e+03 5.024289556019352290e+02 2.735409017660855397e+02 5.816819425013397193e+01
4.052073244576828714e-01 1.002360815829112084e+03 4.923475101248172905e+02 2.672609336494524541e+02 5.646893951450076088e+01
4.114916477570477182e-01 9.857752633357432615e+02 4.825447642680324520e+02 2.611454215898667712e+02 5.480226141767666093e+01
4.177814272116491257e-01 9.701394602509726610e+02 4.733589644277989805e+02 2.554334000576015455e+02 5.324940364779601509e+01
4.240400648725131116e-01 9.548044123055288992e+02 4.643384793213316470e+02 2.498326933088178521e+02 5.173330000426178543e+01
4.303425690270192283e-01 9.400272165259693793e+02 4.556707087388710988e+02 2.444709677359943214e+02 5.029725770498912851e+01
4.366358560255625965e-01 9.257196531191056010e+02 4.474045036862929123e+02 2.393866519359549727e+02 4.896012150820000386e+01
4.428996183220763605e-01 9.119872007640747142e+02 4.393630330685561489e+02 2.344188741399722460e+02 4.765866187451327818e+01
4.491634418529859563e-01 8.984861077019282902e+02 4.315078057114753278e+02 2.295964429150651540e+02 4.640336049009063402e+01
4.554414146254732731e-01 8.858300287176579104e+02 4.241914475529497963e+02 2.251094505298792683e+02 4.523489436142337183e+01
4.617634470301058558e-01 8.731944847696560146e+02 4.169174295008907620e+02 2.206617792798738265e+02 4.407881428600425266e+01
4.680644242023710433e-01 8.611493491503092628e+02 4.099516027546990813e+02 2.163955702588673944e+02 4.296084909387221273e+01
4.743485242764365895e-01 8.493405407310942792e+02 4.031371134387835014e+02 2.121995176441934632e+02 4.185722758201039539e+01
4.806356136815400082e-01 8.381451173395116712e+02 3.967710286705084286e+02 2.083129991390337636e+02 4.083344833149402575e+01
4.869019258388697646e-01 8.271709202896465740e+02 3.904359504529265905e+02 2.044407405236908630e+02 3.982243834885279909e+01
4.931697099599955947e-01 8.163503221446509315e+02 3.842256418666294735e+02 2.006494592678065203e+02 3.883659126056807054e+01
4.994506747144535908e-01 8.060250028128740496e+02 3.784027170507220603e+02 1.971297911617092211e+02 3.792322720913802669e+01
5.057159051335421429e-01 7.960099019651177059e+02 3.727120825951237180e+02 1.936672700282182404e+02 3.703326724941857861e+01
5.119923996268095356e-01 7.862396287793393412e+02 3.671810740013175973e+02 1.903234669840088600e+02 3.617944841329723715e+01
5.183126097768406826e-01 7.766198807257563885e+02 3.617179075319508570e+02 1.870047767662556168e+02 3.532595401372913102e+01
5.246089638029100000e-01 7.673768475242663953e+02 3.565147425183908467e+02 1.838667434833865570e+02 3.453063546129892813e+01
5.308757308483337267e-01 7.582921986805242796e+02 3.514077032120494550e+02 1.807743931014624081e+02 3.374214765215636902e+01
5.371573527946726934e-01 7.495820219279465846e+02 3.465457215610710477e+02 1.778446694962740935e+02 3.299417585480324533e+01
5.434579563783791256e-01 7.409996416028392332e+02 3.417475554933879494e+02 1.749738732134760539e+02 3.226391293545741945e+01
5.497430652392217842e-01 7.325667478091021394e+02 3.370470296762066482e+02 1.721429349121841881e+02 3.154404387811952759e+01
5.559937427501778773e-01 7.246831185406439317e+02 3.326703449346235288e+02 1.695211433214418832e+02 3.088347287506170957e+01
5.622854676609657654e-01 7.165990172926919968e+02 3.281647599453429507e+02 1.668202687014376124e+02 3.019995437302450370e+01
5.686011537227265711e-01 7.088025036957164957e+02 3.238526155628093761e+02 1.642383964378661290e+02 2.955138984178312000e+01
5.748804589422079614e-01 7.012722621428571301e+02 3.197215334598934646e+02 1.617848408439473076e+02 2.894150144645174194e+01
5.811550210340560296e-01 6.939190799907901237e+02 3.157359774005052486e+02 1.594234325678395408e+02 2.834866108038560384e+01
5.874394496660968468e-01 6.866933049423408875e+02 3.117467059445496034e+02 1.570434556210129813e+02 2.775913222855029261e+01
5.937176220296899176e-01 6.796459102347304224e+02 3.078844636017909693e+02 1.547518136360818630e+02 2.718789490256654773e+01
5.999971954793682505e-01 6.727942251897769665e+02 3.041699380871570497e+02 1.525635783403194807e+02 2.664882154891889243e+01
6.062679115124277596e-01 6.661004920464828274e+02 3.005175768403713619e+02 1.503926206456482362e+02 2.611026450605559290e+01
6.125469576444534381e-01 6.594090828581204278e+02 2.968993474329978994e+02 1.482593933467344698e+02 2.558382304454906020e+01
6.188477733041515272e-01 6.530080309567106269e+02 2.934757452230861645e+02 1.462587360939155587e+02 2.509231192984665171e+01
6.251310567437898813e-01 6.467128902313394292e+02 2.900998131512163809e+02 1.442663702690410332e+02 2.460484447178022549e+01
6.314027450383210560e-01 6.405476505873699580e+02 2.867738190468639345e+02 1.423199030143762513e+02 2.412753746489184792e+01
6.377003562732055375e-01 6.344332757945800267e+02 2.835154926717173680e+02 1.404040995186447844e+02 2.365840928267315135e+01
6.439857783314556494e-01 6.285436095615118575e+02 2.803754911969290333e+02 1.385746981706028009e+02 2.321507173996695883e+01
6.502685417166111925e-01 6.227724913903035713e+02 2.773368597409088352e+02 1.368060817379355001e+02 2.278899958267239612e+01
6.565586117699038216e-01 6.169657889896725464e+02 2.742502993923298504e+02 1.350003797429427266e+02 2.234929248277475367e+01
6.628369282359254377e-01 6.114667800766294476e+02 2.713413913399070339e+02 1.333152330959096901e+02 2.194762196903427309e+01
6.691185444962194362e-01 6.059782124228200928e+02 2.684526455393662445e+02 1.316341790465449435e+02 2.154209762446976484e+01
6.754070198575605755e-01 6.006228821180313844e+02 2.656574254470904179e+02 1.300222068351311862e+02 2.115582227456707898e+01
6.816835514593204692e-01 5.953651208541797359e+02 2.629038697528104649e+02 1.284332678400378143e+02 2.077650529474518137e+01
6.879592533861698112e-01 5.900942778648671947e+02 2.601455070876488094e+02 1.268262522563493349e+02 2.039294078313169578e+01
6.942344317039531587e-01 5.850656791670364782e+02 2.575598653296503358e+02 1.253597806625274700e+02 2.004602266380879172e+01
7.005175402434737908e-01 5.801219802253713169e+02 2.549993683265060440e+02 1.238910841308527750e+02 1.969784351261554889e+01
7.068124956608716758e-01 5.751551095080544656e+02 2.524203643159385422e+02 1.224032673351297120e+02 1.934667297697972899e+01
7.131019009674921527e-01 5.703287738463900496e+02 2.499565556306966982e+02 1.209970376741910343e+02 1.901586997123681044e+01
7.193918251171427247e-01 5.655704736815492879e+02 2.475126976910022449e+02 1.195984334849502488e+02 1.868737172215963227e+01
7.256833807598113140e-01 5.609839977988212922e+02 2.451657409895078956e+02 1.182712839007917154e+02 1.838178470002927867e+01
7.319652682709349989e-01 5.562793749131686809e+02 2.427567803051685189e+02 1.168869741481330351e+02 1.805225518416664343e+01
7.382507990484923344e-01 5.518249475044793826e+02 2.405176325027332780e+02 1.156348994610870307e+02 1.776588274862938022e+01
7.445265842115937893e-01 5.474045027622380530e+02 2.382642235957232515e+02 1.143545406510113480e+02 1.746677633596276991e+01
7.507871101942712455e-01 5.430507599130297649e+02 2.361015638239275063e+02 1.131403573927017590e+02 1.718692992040484313e+01
7.570758465316046459e-01 5.387026567391457093e+02 2.338812188601807804e+02 1.118746754901988680e+02 1.689213018444971226e+01
7.633641233600957365e-01 5.345145859937389332e+02 2.318004460964974101e+02 1.107069932334748756e+02 1.662605218816139185e+01
7.696462959862266917e-01 5.303708495433785401e+02 2.297327283773152828e+02 1.095537127148435985e+02 1.636485223103306907e+01
7.759394865175414102e-01 5.262242398551042015e+02 2.276729470257826051e+02 1.083875297776080089e+02 1.609470737828885945e+01
7.822329141989586843e-01 5.222035782600808034e+02 2.256811387637007442e+02 1.072973937129115569e+02 1.585075558552223640e+01
7.885314936520240181e-01 5.181886164768243361e+02 2.236816325557026914e+02 1.061637301690817452e+02 1.559115141076056155e+01
7.947896566979522071e-01 5.143157331342520138e+02 2.217722291175875853e+02 1.051044638690896278e+02 1.535111159074288167e+01
8.010491096592354809e-01 5.104365705317197808e+02 2.198488678318350082e+02 1.040359229990316550e+02 1.511122739452427410e+01
8.073364061727361651e-01 5.066461025688205950e+02 2.180088741290050223e+02 1.030164747559918368e+02 1.488157368576697337e+01
8.136229488373866170e-01 5.028703180750567299e+02 2.161545492424259010e+02 1.019948467695758865e+02 1.465313468666485441e+01
8.199152998961036776e-01 4.991883474498520172e+02 2.143785126506061260e+02 1.010226472237838493e+02 1.443827337688334111e+01
8.261952636392789762e-01 4.955119176823572502e+02 2.125655477314375332e+02 1.000092161813552138e+02 1.420815068748226295e+01
8.324897070080405914e-01 4.919420173577231594e+02 2.108571131633738958e+02 9.908385398817648593e+01 1.400777127274324840e+01
8.387959309210778480e-01 4.883581978022657495e+02 2.091197166101807170e+02 9.812310289658600482e+01 1.379233065265474067e+01
8.450634639703045181e-01 4.848447999193082296e+02 2.074417351056582106e+02 9.720866807082735761e+01 1.359333365487902512e+01
8.513282867562648182e-01 4.813922061504409839e+02 2.057657648056093080e+02 9.629157091022047155e+01 1.338910616530876574e+01
8.576198263902009566e-01 4.780141693425747462e+02 2.041680633948029424e+02 9.542267386409496055e+01 1.320140142709587749e+01
8.639058477062415697e-01 4.746298190128803185e+02 2.025531156217091677e+02 9.454703546031511507e+01 1.300834236301166236e+01
8.701838745487597837e-01 4.713073888974128067e+02 2.009569226531824029e+02 9.367852219523211943e+01 1.281992404854670120e+01
8.764641096075268534e-01 4.680315029970438445e+02 1.994047848497775135e+02 9.284265860181142216e+01 1.263901010361551336e+01
8.827503873399735745e-01 4.647639061674755112e+02 1.978574784900662848e+02 9.199993572508748230e+01 1.245680270504096399e+01
8.890332768393869323e-01 4.615805885476668209e+02 1.963830237381021675e+02 9.121788902233272722e+01 1.228989898848579010e+01
8.953084247113127780e-01 4.584138673524834076e+02 1.948592941502294309e+02 9.039145034317159855e+01 1.211066106923622598e+01
9.015956521667095602e-01 4.552711860050036989e+02 1.933971702778947872e+02 8.960808270186089430e+01 1.194316155188539597e+01
9.078833328094829680e-01 4.521969837443854772e+02 1.919777572850203171e+02 8.885837127481232756e+01 1.178623791451321523e+01
9.141744106319863450e-01 4.491323642610819888e+02 1.905286196770666436e+02 8.807425153665583650e+01 1.161583778229102926e+01
9.204630817717615043e-01 4.461545695090414370e+02 1.891561954364242695e+02 8.734713373654140867e+01 1.146422857677920959e+01
9.267434415264711456e-01 4.431356541597347700e+02 1.877535453431347321e+02 8.659963149097571034e+01 1.130514020925364349e+01
9.330324197354928906e-01 4.401880888772303706e+02 1.864033383988092112e+02 8.588906852454890384e+01 1.115623860386809163e+01
9.393265785573878812e-01 4.372989196376409495e+02 1.850675955672795681e+02 8.518079628334663767e+01 1.100830661596144822e+01
9.455974810398196650e-01 4.343976709736751900e+02 1.837369595725068336e+02 8.447348829509600421e+01 1.085961868431444799e+01
9.518660018545171964e-01 4.315560972651050520e+02 1.824262599398376494e+02 8.378735320530033448e+01 1.071821495748959663e+01
9.581413255531838757e-01 4.287574519137684206e+02 1.811501816738225159e+02 8.311507531125403148e+01 1.057694676853540727e+01
9.644350945109106954e-01 4.259709181937053586e+02 1.798816804373863647e+02 8.244957025206483081e+01 1.044039571122359078e+01
9.707355633568249820e-01 4.232243740606461984e+02 1.786317481072964028e+02 8.179133865470674891e+01 1.030567450167801802e+01
9.770080768450029041e-01 4.204973693175381300e+02 1.774040662637930268e+02 8.115574518296565998e+01 1.017520375829844603e+01
9.832823325363413414e-01 4.177893111947881835e+02 1.761714943218836424e+02 8.051317836423629615e+01 1.004233857790046258e+01
9.895569691966674686e-01 4.151487430611298350e+02 1.749903386463096240e+02 7.989978374066426170e+01 9.918402042451562650e+00
9.958456301921106979e-01 4.124966713632189794e+02 1.737924236376649958e+02 7.927686639279122005e+01 9.791553599252182494e+00
1.002136210743837408e+00 4.099003614637942405e+02 1.726182422930088478e+02 7.867313846019239065e+01 9.667919821289961746e+00
1.008404825335135424e+00 4.073068350043803321e+02 1.714620111214460110e+02 7.807060948494377328e+01 9.546583137054939883e+00
1.014694149836243398e+00 4.047757880024229280e+02 1.703446008085582832e+02 7.750137136496566370e+01 9.434483916950432203e+00
1.020992555437297167e+00 4.022212297238058909e+02 1.691971021599484573e+02 7.690567655305483186e+01 9.311977909097288730e+00
1.027273980437394485e+00 3.997211426851663987e+02 1.681005294075654888e+02 7.635192091338730336e+01 9.204385023834557700e+00
1.033559181896017254e+00 3.972402489492387758e+02 1.669818817493579672e+02 7.577513545091858305e+01 9.087406883118006817e+00
1.039847557392594934e+00 3.947786013794955124e+02 1.659126059317531769e+02 7.522752571449886716e+01 8.978977476115149514e+00
1.046126974943305088e+00 3.923773164255429151e+02 1.648503136978763450e+02 7.468821839402602336e+01 8.873865042790864521e+00
1.052403436811028659e+00 3.899683610513857843e+02 1.637843254848606875e+02 7.414731604621051986e+01 8.765584400508005913e+00
1.058680704651608684e+00 3.875876930096013098e+02 1.627394285172687205e+02 7.361302209696766852e+01 8.661122293282501161e+00
1.064964333065789193e+00 3.852236049218577705e+02 1.617146561849958459e+02 7.309354788401120118e+01 8.559042956686242931e+00
1.071256777440835473e+00 3.829127201843674015e+02 1.607087048393296698e+02 7.259529668961155835e+01 8.465014602362950669e+00
1.077544048801078125e+00 3.805807495524176147e+02 1.596821755333622832e+02 7.206700140967028290e+01 8.359073770764542388e+00
1.083824820188043603e+00 3.782901049903121020e+02 1.586828652628933582e+02 7.157034545531851677e+01 8.263479227432657837e+00
1.090108023942816695e+00 3.760305008224396488e+02 1.577166763213013496e+02 7.108767485642933082e+01 8.172935808374784727e+00
1.096389665956643222e+00 3.737792294793984524e+02 1.567476166611459689e+02 7.060153102612132159e+01 8.078484024669014829e+00
1.102681132058841440e+00 3.715455941297579443e+02 1.557801478275685554e+02 7.011611039739716489e+01 7.985104819251808372e+00
1.108963047594879958e+00 3.693504341589070918e+02 1.548287158669555481e+02 6.963921311786803869e+01 7.892975177246364993e+00
1.115225428463759272e+00 3.671768463649533487e+02 1.539015051108288503e+02 6.918087435906997484e+01 7.806717215228313300e+00
1.121502127614767863e+00 3.650164901140652773e+02 1.529754135516257918e+02 6.872151175730532202e+01 7.720708409636176661e+00
1.127792573824792033e+00 3.628619514040764216e+02 1.520509819225577530e+02 6.826499043329340566e+01 7.633266492962554217e+00
1.134089552668382961e+00 3.607338124743259868e+02 1.511510726298474481e+02 6.782566454060324190e+01 7.552305599517941559e+00
1.140364049650405942e+00 3.586208407776434228e+02 1.502469739261290158e+02 6.737304608580843990e+01 7.464264034549851878e+00
1.146639180320979445e+00 3.565659366583304859e+02 1.493778871782685371e+02 6.695038815371910346e+01 7.388384066304864994e+00
1.152942412991649901e+00 3.544708410513950412e+02 1.484935020390029479e+02 6.651298713906112425e+01 7.305875831512224750e+00
1.159228906751078814e+00 3.524190048843236696e+02 1.476261919655681822e+02 6.609191829313516564e+01 7.227212057349854391e+00
1.165508721887268173e+00 3.503929269211348014e+02 1.467679109262513748e+02 6.567194453183736869e+01 7.150868024760305808e+00
1.171793076256210320e+00 3.483801967993821336e+02 1.459243518502255199e+02 6.526377953586394653e+01 7.075191704181447605e+00
1.178087436369658958e+00 3.463872022554771206e+02 1.450809459802559331e+02 6.485535297927069109e+01 7.000368945906470408e+00
1.184367654251526902e+00 3.443945791269343317e+02 1.442525233123404291e+02 6.445133464096385012e+01 6.925814553820372588e+00
1.190634642299266632e+00 3.424418126401707809e+02 1.434353919633185512e+02 6.405891125322106916e+01 6.855125019515593721e+00
1.196912208834400859e+00 3.404927636730906784e+02 1.426213271816510257e+02 6.366440802801748333e+01 6.782658956199260736e+00
1.203201577354146234e+00 3.385638073662678948e+02 1.418142246465593530e+02 6.327391931426335248e+01 6.712575598951079137e+00
1.209486844441705733e+00 3.366596081874051265e+02 1.410321083664022979e+02 6.290298835248844966e+01 6.647010603212798685e+00
1.215763902074809888e+00 3.347671961527011035e+02 1.402479194294494960e+02 6.252726676331742794e+01 6.578105228851869768e+00
1.222049755171146668e+00 3.328917894621139340e+02 1.394639784472572615e+02 6.215163677270198406e+01 6.510860546884782885e+00
1.228340616621486969e+00 3.310175102414523280e+02 1.386982387511091588e+02 6.178814212930750216e+01 6.446428568908500800e+00
1.234632986576932767e+00 3.291654197784561120e+02 1.379285960957879809e+02 6.142059775333338223e+01 6.380573968670779195e+00
1.240902247176856488e+00 3.273506043338343261e+02 1.371882425919061745e+02 6.107445191809532048e+01 6.321893418975716550e+00
1.247174839144687519e+00 3.255230554318975464e+02 1.364223286712050651e+02 6.070352539168411710e+01 6.252543539808401718e+00
1.253465459933442272e+00 3.237294087934433264e+02 1.357042367369777764e+02 6.037663432106397465e+01 6.199421893299274622e+00
1.259749951892178421e+00 3.219282003500424594e+02 1.349608653222811938e+02 6.002086986098961319e+01 6.134685407137599356e+00
1.266032143127253873e+00 3.201511227552539367e+02 1.342372285362708908e+02 5.968042024970554138e+01 6.074820006018347485e+00
1.272316288472006507e+00 3.183972480569669301e+02 1.335180827702036481e+02 5.934450733595686245e+01 6.017451307532322602e+00
1.278604155058621350e+00 3.166439411208153842e+02 1.328082537787428805e+02 5.901460365717285583e+01 5.959820557948069641e+00
1.284886588933593865e+00 3.149408382262064379e+02 1.321242400757174664e+02 5.870529229691585726e+01 5.908940470650414056e+00
1.291175420066583257e+00 3.132028463001077512e+02 1.314087042618872374e+02 5.836469838870754501e+01 5.847919729715284731e+00
1.297465726373772332e+00 3.115008484936321906e+02 1.307272664099119481e+02 5.804932328563938171e+01 5.795405676878340628e+00
1.303741827011944299e+00 3.098078492018217958e+02 1.300383217104159428e+02 5.773056259270070001e+01 5.740669128647146735e+00
1.310017322922761851e+00 3.081314997721622149e+02 1.293737770505415767e+02 5.742866014354670767e+01 5.690134713137783073e+00
1.316301447662886703e+00 3.064623929037213088e+02 1.286919354073663726e+02 5.711129775870675473e+01 5.636307792852068843e+00
1.322586760363303249e+00 3.048226819307610640e+02 1.280322246065825880e+02 5.681082308973510209e+01 5.584869460451628242e+00
1.328865492452874664e+00 3.031810210362781959e+02 1.273829778344346124e+02 5.651973897529348534e+01 5.538061743941478987e+00
1.335144804954555564e+00 3.015641333289582917e+02 1.267372507907333841e+02 5.622559274839365884e+01 5.489264752292945637e+00
1.341440516272275119e+00 2.999263633470071113e+02 1.260767196728977098e+02 5.592126506452103740e+01 5.436819191083062108e+00
1.347730868417094552e+00 2.983307332194528954e+02 1.254460265709050333e+02 5.563602252144318072e+01 5.390902947797050260e+00
1.354001589994877630e+00 2.967557538832201658e+02 1.248209153545244590e+02 5.535825565327337472e+01 5.345275884850232195e+00
1.360282609297778444e+00 2.951839160484138915e+02 1.241908891007932567e+02 5.507327669628146083e+01 5.298906627538559455e+00
1.366565686457597906e+00 2.936090816457391384e+02 1.235680442305661586e+02 5.479156006882625007e+01 5.252433005251705644e+00
1.372851498482432708e+00 2.920513771777969509e+02 1.229507806271871146e+02 5.451605393134057209e+01 5.207764552949848635e+00
1.379135372929401804e+00 2.905329970980711778e+02 1.223574849392359454e+02 5.426123802054028999e+01 5.169083854073710960e+00
1.385409567149057164e+00 2.889895379394330917e+02 1.217336267532649714e+02 5.397518984999554448e+01 5.120434811676325637e+00
1.391698641219299315e+00 2.874732210912341088e+02 1.211408465646965169e+02 5.371227831413892062e+01 5.079718662134696139e+00
1.397984451439470810e+00 2.859653455315647079e+02 1.205552406012377133e+02 5.345871148299968212e+01 5.040521361584461069e+00
1.404267883409181961e+00 2.844722859837896749e+02 1.199662088436957816e+02 5.319714945355534041e+01 4.998854528282607568e+00
1.410554779484869181e+00 2.829819006824238272e+02 1.193784666028417973e+02 5.293895793568466956e+01 4.957874882380561843e+00
1.416837833547465397e+00 2.815078963743068812e+02 1.188021457971761663e+02 5.269020564530358541e+01 4.919692922285578085e+00
1.423118177187137068e+00 2.800502520497147998e+02 1.182356624338298161e+02 5.244096782208367813e+01 4.881781028545873369e+00
1.429397801164240089e+00 2.785942192841091583e+02 1.176602013808778793e+02 5.218926779705424224e+01 4.841575312397827346e+00
1.435686921822787232e+00 2.771586968460787261e+02 1.171081477313503569e+02 5.195470389554045454e+01 4.807383908144433171e+00
1.441977121769299597e+00 2.757167425542434671e+02 1.165381989305827659e+02 5.170455240760325921e+01 4.767835527300947618e+00
1.448253667853332427e+00 2.743161749490790839e+02 1.160067775397616145e+02 5.148016596725510396e+01 4.736475997685134942e+00
1.454532348972172651e+00 2.728979280722292629e+02 1.154475332335681088e+02 5.123976908779113160e+01 4.699418411670229112e+00
1.460819319151879903e+00 2.714941684524123957e+02 1.149003799300555642e+02 5.100543504456213384e+01 4.664034120986878307e+00
